"year","month","day","line","ridership"
2019,1,20,"Green",-1.3312619170727478
2019,1,21,"Green",-3.6857176539486844
2019,1,22,"Green",-3.7700908109606948
2019,1,23,"Green",-2.83156609780033
2019,1,24,"Green",-3.523687171477992
2019,1,25,"Green",-3.266249769430587
2019,1,26,"Green",-3.9001043598194522
2019,1,27,"Green",-3.773436146327913
2019,1,28,"Green",-3.6468433922214847
2019,1,29,"Green",-2.9629395482819376
2019,1,30,"Green",-5.5686930710744775
2019,1,31,"Green",-6.0916437022425445
2019,2,1,"Green",-6.582985615641817
2019,2,2,"Green",-6.185349769753764
2019,2,3,"Green",-6.175662398896427
2019,2,4,"Green",-6.165937218901882
2019,2,5,"Green",3.2560705664526144
2019,2,6,"Green",3.1175155782535837
2019,2,7,"Green",3.222793649012118
2019,2,8,"Green",3.222466554267988
2019,2,9,"Green",2.4493002948785785
2019,2,10,"Green",2.4249529331593114
2019,2,11,"Green",2.4004869998298886
2019,2,12,"Green",2.2189456091152344
2019,2,13,"Green",1.5703604437212173
2019,2,14,"Green",1.0831079322771684
2019,2,15,"Green",1.8707315179909405
2019,2,16,"Green",0.36345663692850877
2019,2,17,"Green",0.091261703016955
2019,2,18,"Green",-0.1873056373301884
2019,2,19,"Green",1.4402835647596737
2019,2,20,"Green",-3.055520514145652
2019,2,21,"Green",-3.5231016986840418
2019,2,22,"Green",-4.20396526316071
2019,2,23,"Green",-4.602397021693889
2019,2,24,"Green",-4.292993120388747
2019,2,25,"Green",-3.981819074352578
2019,2,26,"Green",-3.277926960257788
2019,2,27,"Green",-2.9398822763122876
2019,2,28,"Green",-3.2420512409285918
2019,3,1,"Green",-3.341952624728385
2019,3,2,"Green",-1.8835200586523702
2019,3,3,"Green",-2.5515341852241846
2019,3,4,"Green",-3.2242212265652754
2019,3,5,"Green",1.6076513814994375
2019,3,6,"Green",0.07894949931172232
2019,3,7,"Green",3.278070009356898
2019,3,8,"Green",8.308742514630413
2019,3,9,"Green",8.659330660524894
2019,3,10,"Green",8.963701705135067
2019,3,11,"Green",9.269393656991692
2019,3,12,"Green",11.104989689777495
2019,3,13,"Green",21.78989838706168
2019,3,14,"Green",24.326655593631074
2019,3,15,"Green",25.922866516524707
2019,3,16,"Green",24.94642733170314
2019,3,17,"Green",24.08364479696104
2019,3,18,"Green",23.23673382645203
2019,3,19,"Green",26.63571456439468
2019,3,20,"Green",26.49504205996894
2019,3,21,"Green",27.76391682232246
2019,3,22,"Green",26.479379246667772
2019,3,23,"Green",21.285792231707457
2019,3,24,"Green",20.885794108887723
2019,3,25,"Green",20.487320163742293
2019,3,26,"Green",21.368225344790073
2019,3,27,"Green",21.096573943108595
2019,3,28,"Green",11.92982546658119
2019,3,29,"Green",10.724300221052912
2019,3,30,"Green",10.114376052774317
2019,3,31,"Green",10.371510819672684
2019,4,1,"Green",10.630316608890292
2019,4,2,"Green",11.372996924081017
2019,4,3,"Green",10.41446838444694
2019,4,4,"Green",9.827234560618518
2019,4,5,"Green",6.550031096340349
2019,4,6,"Green",3.976961541979963
2019,4,7,"Green",3.997244922061862
2019,4,8,"Green",4.017628136887879
2019,4,9,"Green",5.450014900561195
2019,4,10,"Green",4.502949284168717
2019,4,11,"Green",4.691520337173258
2019,4,12,"Green",4.765944850460396
2019,4,13,"Green",3.9493482619740137
2019,4,14,"Green",4.529719991412116
2019,4,15,"Green",5.118667882346534
2019,4,16,"Green",6.867783764580496
2019,4,17,"Green",6.742734446394298
2019,4,18,"Green",7.672715094971487
2019,4,19,"Green",9.252909127837713
2019,4,20,"Green",10.216357127411642
2019,4,21,"Green",10.625431419900863
2019,4,22,"Green",11.039690965376346
2019,4,23,"Green",13.730440222774249
2019,4,24,"Green",13.691719433483222
2019,4,25,"Green",16.260640874801023
2019,4,26,"Green",17.019303959370593
2019,4,27,"Green",16.835918136109342
2019,4,28,"Green",16.826370272817826
2019,4,29,"Green",16.816764967433766
2019,4,30,"Green",17.5525717139211
2019,5,1,"Green",14.471229775896655
2019,5,2,"Green",13.376410158173483
2019,5,3,"Green",13.501855777473734
2019,5,4,"Green",11.92964776824689
2019,5,5,"Green",11.962816295355665
2019,5,6,"Green",11.996330464766805
2019,5,7,"Green",12.759829160202486
2019,5,8,"Green",10.909995615309958
2019,5,9,"Green",10.074742131646088
2019,5,10,"Green",9.168097796982623
2019,5,11,"Green",8.69708134618095
2019,5,12,"Green",8.558931276729123
2019,5,13,"Green",8.419566541087075
2019,5,14,"Green",9.04268672710945
2019,5,15,"Green",9.626622277819699
2019,5,16,"Green",9.361770490404153
2019,5,17,"Green",10.25534735102008
2019,5,18,"Green",9.131948443919157
2019,5,19,"Green",9.172528518504702
2019,5,20,"Green",9.213458457544116
2019,5,21,"Green",10.134373315577538
2019,5,22,"Green",10.005127661079284
2019,5,23,"Green",9.659160992309726
2019,5,24,"Green",8.792255936758494
2019,5,25,"Green",6.789712614774354
2019,5,26,"Green",6.788625096071824
2019,5,27,"Green",6.78750971953839
2019,5,28,"Green",9.198623299920975
2019,5,29,"Green",9.160137250508084
2019,5,30,"Green",8.19524855260531
2019,5,31,"Green",8.922209453604982
2019,6,1,"Green",9.82202072401407
2019,6,2,"Green",9.977925730765122
2019,6,3,"Green",10.135893084657441
2019,6,4,"Green",11.38993213771606
2019,6,5,"Green",10.665723745539877
2019,6,6,"Green",10.17220463472165
2019,6,7,"Green",10.338457435264523
2019,6,8,"Green",9.70626162226777
2019,6,9,"Green",10.451589474829143
2019,6,10,"Green",11.202069835195894
2019,6,11,"Green",15.896491372753847
2019,6,12,"Green",14.22714570402534
2019,6,13,"Green",14.815720435037314
2019,6,14,"Green",15.248545786831032
2019,6,15,"Green",13.958023437980103
2019,6,16,"Green",13.865797124885876
2019,6,17,"Green",13.773476151592295
2019,6,18,"Green",14.563003657444645
2019,6,19,"Green",14.141027898669215
2019,6,20,"Green",14.782962087048118
2019,6,21,"Green",15.560860830383088
2019,6,22,"Green",15.659110152608942
2019,6,23,"Green",15.9948923844252
2019,6,24,"Green",16.334421022197727
2019,6,25,"Green",17.153304596954083
2019,6,26,"Green",16.045180773145134
2019,6,27,"Green",12.986364431420366
2019,6,28,"Green",11.670419789176087
2019,6,29,"Green",11.715714219356364
2019,6,30,"Green",12.220649386622439
2019,7,1,"Green",12.731738925642656
2019,7,2,"Green",13.95488651962555
2019,7,3,"Green",13.200337918760416
2019,7,4,"Green",12.745613325786367
2019,7,5,"Green",11.423092260977146
2019,7,6,"Green",12.180726378303955
2019,7,7,"Green",11.813401818152608
2019,7,8,"Green",11.445471797705888
2019,7,9,"Green",11.365670849201171
2019,7,10,"Green",9.123718253532804
2019,7,11,"Green",8.21215418826758
2019,7,12,"Green",8.343683493229317
2019,7,13,"Green",7.405333018340794
2019,7,14,"Green",7.805713253440942
2019,7,15,"Green",8.206743903168558
2019,7,16,"Green",10.235436867369856
2019,7,17,"Green",10.390572292775408
2019,7,18,"Green",11.225392511090929
2019,7,19,"Green",11.452890559473145
2019,7,20,"Green",10.325928481620005
2019,7,21,"Green",10.71942984952372
2019,7,22,"Green",11.111558151641837
2019,7,23,"Green",11.516600944452557
2019,7,24,"Green",12.0307350274002
2019,7,25,"Green",13.388634569464234
2019,7,26,"Green",13.832483903943322
2019,7,27,"Green",12.751574748875004
2019,7,28,"Green",12.465265648723333
2019,7,29,"Green",12.178252931605002
2019,7,30,"Green",12.628379373602389
2019,7,31,"Green",10.225368276417251
2019,8,1,"Green",9.624236915275734
2019,8,2,"Green",8.113698214471974
2019,8,3,"Green",7.338401012279859
2019,8,4,"Green",7.591211799997087
2019,8,5,"Green",7.845493440245321
2019,8,6,"Green",9.270311841175388
2019,8,7,"Green",9.704635335179438
2019,8,8,"Green",10.384400621277685
2019,8,9,"Green",10.03038237654236
2019,8,10,"Green",10.310526171584767
2019,8,11,"Green",10.646679943480102
2019,8,12,"Green",10.988457265335418
2019,8,13,"Green",11.723384056336492
2019,8,14,"Green",11.576575112682146
2019,8,15,"Green",12.2882688250568
2019,8,16,"Green",11.782510811044839
2019,8,17,"Green",11.880872383792934
2019,8,18,"Green",11.889404746776815
2019,8,19,"Green",11.897998750426723
2019,8,20,"Green",12.104553429326106
2019,8,21,"Green",10.737829240132589
2019,8,22,"Green",9.421767792966675
2019,8,23,"Green",7.445347897057253
2019,8,24,"Green",7.741201916706205
2019,8,25,"Green",7.6749920711116
2019,8,26,"Green",7.608067271622744
2019,8,27,"Green",7.962450834990629
2019,8,28,"Green",6.772695915311208
2019,8,29,"Green",6.628388219714999
2019,8,30,"Green",6.826661499912287
2019,8,31,"Green",5.74320522693786
2019,9,1,"Green",5.537848836871774
2019,9,2,"Green",5.325834497368328
2019,9,3,"Green",9.049455651550566
2019,9,4,"Green",9.190646588141743
2019,9,5,"Green",10.341290266312452
2019,9,6,"Green",12.04854833011202
2019,9,7,"Green",11.518863907925999
2019,9,8,"Green",11.906131306905769
2019,9,9,"Green",12.292976852918903
2019,9,10,"Green",13.827623985158391
2019,9,11,"Green",12.827934590707487
2019,9,12,"Green",12.681069370884032
2019,9,13,"Green",13.357960337561611
2019,9,14,"Green",10.433756252702835
2019,9,15,"Green",10.450927255273418
2019,9,16,"Green",10.468027277783053
2019,9,17,"Green",16.661971259029144
2019,9,18,"Green",13.16892489423362
2019,9,19,"Green",14.201242205558657
2019,9,20,"Green",14.69042915901642
2019,9,21,"Green",13.079902540875576
2019,9,22,"Green",12.901735877699249
2019,9,23,"Green",12.722846119209702
2019,9,24,"Green",12.427411400864193
