servicedate,stationname,validations
1/5/2018,Central,10864
1/5/2018,Charles MGH,8108
1/5/2018,Chinatown,4362
1/5/2018,Community College,1359
1/5/2018,Copley,8723
1/5/2018,Courthouse,1400
1/5/2018,Davis,8107
1/5/2018,Downtown Crossing,17553
1/5/2018,Fields Corner,3001
1/5/2018,Forest Hills,8342
1/5/2018,Government Center,4940
1/5/2018,Green Street,1864
1/5/2018,Harvard,12739
1/5/2018,Haymarket,8122
1/5/2018,Hynes Convention Center,4370
1/5/2018,Jackson Square,3421
1/5/2018,JFK/Umass,3215
1/5/2018,Kendall/MIT,9326
1/5/2018,Kenmore,4265
1/5/2018,Lechmere,3774
1/5/2018,Malden Center,6801
1/5/2018,Massachusetts Ave.,3510
1/5/2018,Maverick,7415
1/5/2018,North Quincy,3686
1/5/2018,North Station,12689
1/5/2018,Oak Grove,4180
1/5/2018,Orient Heights,1340
1/5/2018,Park Street,9945
1/5/2018,Porter,5860
1/5/2018,Prudential,3194
1/5/2018,Quincy Adams,2427
1/5/2018,Quincy Center,4870
1/5/2018,Revere Beach,2002
1/5/2018,Riverside,891
1/5/2018,Roxbury Crossing,1934
1/5/2018,Ruggles,4667
1/5/2018,Savin Hill,1444
1/5/2018,Science Park,74
1/5/2018,Shawmut,1322
1/5/2018,South Station,16886
1/5/2018,State Street,9610
1/5/2018,Stony Brook,2198
1/5/2018,Suffolk Downs,242
1/5/2018,Sullivan Square,6041
1/5/2018,Symphony,1329
1/5/2018,Tufts Medical Center,4520
1/5/2018,Wellington,4521
1/5/2018,Wollaston,2129
1/5/2018,Wonderland,3966
1/5/2018,Wood Island,980
1/5/2018,World Trade Center,617
1/6/2018,Airport,3924
1/6/2018,Alewife,2875
1/6/2018,Andrew,2148
1/6/2018,Aquarium,1925
1/6/2018,Arlington,2565
1/6/2018,Ashmont,2882
1/6/2018,Assembly,1093
1/6/2018,Back Bay,5310
1/6/2018,Beachmont,1026
1/6/2018,Bowdoin,396
1/6/2018,Boylston,2813
1/6/2018,Braintree,1184
1/6/2018,Broadway,1850
1/6/2018,Central,5531
1/6/2018,Charles MGH,2240
1/6/2018,Chinatown,2959
1/6/2018,Community College,723
1/6/2018,Copley,6502
1/6/2018,Courthouse,555
1/6/2018,Davis,3946
1/6/2018,Downtown Crossing,7795
1/6/2018,Fields Corner,1856
1/6/2018,Forest Hills,4159
1/6/2018,Government Center,1643
1/6/2018,Green Street,796
1/6/2018,Harvard,6892
1/6/2018,Haymarket,5236
1/6/2018,Hynes Convention Center,3559
1/6/2018,Jackson Square,1880
1/6/2018,JFK/Umass,1568
1/6/2018,Kendall/MIT,2336
1/6/2018,Kenmore,3008
1/6/2018,Lechmere,2232
1/6/2018,Malden Center,3620
1/6/2018,Massachusetts Ave.,1942
1/6/2018,Maverick,4601
1/6/2018,North Quincy,1379
1/6/2018,North Station,5336
1/6/2018,Oak Grove,1603
1/6/2018,Orient Heights,840
1/6/2018,Park Street,4877
1/6/2018,Porter,2658
1/6/2018,Prudential,1931
1/6/2018,Quincy Adams,602
1/6/2018,Quincy Center,2121
1/6/2018,Revere Beach,1385
1/6/2018,Riverside,372
1/6/2018,Roxbury Crossing,1042
1/6/2018,Ruggles,2376
1/6/2018,Savin Hill,742
1/6/2018,Shawmut,748
1/6/2018,South Station,4950
1/6/2018,State Street,3030
1/6/2018,Stony Brook,1044
1/6/2018,Suffolk Downs,155
1/6/2018,Sullivan Square,3124
1/6/2018,Symphony,974
1/6/2018,Tufts Medical Center,1812
1/6/2018,Wellington,1908
1/6/2018,Wollaston,1024
1/6/2018,Wonderland,2112
1/6/2018,Wood Island,396
1/6/2018,World Trade Center,184
1/7/2018,Airport,3623
1/7/2018,Alewife,2321
1/7/2018,Andrew,1771
1/7/2018,Aquarium,1460
1/7/2018,Arlington,1970
1/7/2018,Ashmont,2200
1/7/2018,Assembly,1079
1/7/2018,Back Bay,4211
1/7/2018,Beachmont,975
1/7/2018,Bowdoin,386
1/7/2018,Boylston,2458
1/7/2018,Braintree,690
1/7/2018,Broadway,1523
1/7/2018,Central,4719
1/7/2018,Charles MGH,2096
1/7/2018,Chinatown,2530
1/7/2018,Community College,600
1/7/2018,Copley,5256
1/7/2018,Courthouse,411
1/7/2018,Davis,3133
1/7/2018,Downtown Crossing,6650
1/7/2018,Fields Corner,1179
1/7/2018,Forest Hills,3227
1/7/2018,Government Center,1488
1/7/2018,Green Street,629
1/7/2018,Harvard,5805
1/7/2018,Haymarket,3885
1/7/2018,Hynes Convention Center,3347
1/7/2018,Jackson Square,1568
1/7/2018,JFK/Umass,1362
1/7/2018,Kendall/MIT,2430
1/7/2018,Kenmore,2438
1/7/2018,Lechmere,1888
1/7/2018,Malden Center,3006
1/7/2018,Massachusetts Ave.,1851
1/7/2018,Maverick,3646
1/7/2018,North Quincy,1420
1/7/2018,North Station,4956
1/7/2018,Oak Grove,1303
1/7/2018,Orient Heights,1054
1/7/2018,Park Street,4375
1/7/2018,Porter,2625
1/7/2018,Prudential,2220
1/7/2018,Quincy Adams,600
1/7/2018,Quincy Center,1715
1/7/2018,Revere Beach,947
1/7/2018,Riverside,320
1/7/2018,Roxbury Crossing,868
1/7/2018,Ruggles,2256
1/7/2018,Savin Hill,594
1/7/2018,Science Park,60
1/7/2018,Shawmut,593
1/7/2018,South Station,4904
1/7/2018,State Street,2568
1/7/2018,Stony Brook,905
1/7/2018,Suffolk Downs,119
1/7/2018,Sullivan Square,2380
1/7/2018,Symphony,921
1/7/2018,Tufts Medical Center,1474
1/7/2018,Wellington,1475
1/7/2018,Wollaston,885
1/7/2018,Wonderland,1718
1/7/2018,Wood Island,453
1/7/2018,World Trade Center,162
1/8/2018,Airport,6020
1/8/2018,Alewife,11108
1/8/2018,Andrew,5785
1/8/2018,Aquarium,3763
1/8/2018,Arlington,6584
1/8/2018,Ashmont,8234
1/8/2018,Assembly,2809
1/8/2018,Back Bay,15286
1/8/2018,Beachmont,2799
1/8/2018,Bowdoin,1942
1/8/2018,Boylston,4381
1/8/2018,Braintree,4059
1/8/2018,Broadway,6069
1/8/2018,Central,13919
1/8/2018,Charles MGH,9986
1/8/2018,Chinatown,5722
1/8/2018,Community College,2998
1/8/2018,Copley,11717
1/8/2018,Courthouse,2031
1/8/2018,Davis,11004
1/8/2018,Downtown Crossing,19394
